time,open,high,low,close,volume
2024-01-01T00:00:00Z,100,100,100,100,1000
2024-01-01T01:00:00Z,100,100,100,100,1000
2024-01-01T02:00:00Z,100,100,100,100,1000
2024-01-01T03:00:00Z,100,100,100,100,1000
2024-01-01T04:00:00Z,100,100,100,100,1000
2024-01-01T05:00:00Z,100,100,100,100,1000
2024-01-01T06:00:00Z,100,100,100,100,1000
2024-01-01T07:00:00Z,100,112,98,110,1000
2024-01-01T08:00:00Z,110,114,109,113,1000
2024-01-01T09:00:00Z,113,117,112,116,1000
2024-01-01T10:00:00Z,116,120,115,119,1000
2024-01-01T11:00:00Z,119,123,118,122,1000
2024-01-01T12:00:00Z,122,123,121,122,1000
2024-01-01T13:00:00Z,122,123,121,122,1000
2024-01-01T14:00:00Z,122,123,121,122,1000
